"count","Year","Month","Day","Hour"
0.647367548245,2013,10,1,8
1.717407593941,2013,10,1,9
23.484470008727,2013,10,1,10
35.83950243837,2013,10,1,11
42.132015674324,2013,10,1,12
43.184738413156,2013,10,1,13
34.846315427422,2013,10,1,14
28.782415824188,2013,10,1,15
38.737129485176,2013,10,1,16
36.705869888341,2013,10,1,17
32.638986819312,2013,10,1,18
21.237782070338,2013,10,1,19
0.02297713955804,2013,10,1,20
0.002137408330976,2013,10,1,21
0.0003117053816011,2013,10,1,22
0.02057255518567,2013,10,1,23
0.93756679401,2013,10,2,8
2.48727996364,2013,10,2,9
8.598197943662,2013,10,2,10
13.11238284177,2013,10,2,11
26.536022700748,2013,10,2,12
39.612379770782,2013,10,2,13
37.122249929364,2013,10,2,14
44.029705676416,2013,10,2,15
43.964118564742,2013,10,2,16
22.918846045177,2013,10,2,17
30.821980910737,2013,10,2,18
18.792649894973,2013,10,2,19
0.03327723660125,2013,10,2,20
0.003095556893142,2013,10,2,21
0.00045143538025,2013,10,2,22
0.02979473509646,2013,10,2,23
0.513429434815,2013,10,3,8
1.362081884851,2013,10,3,9
21.970441731057,2013,10,3,10
26.25201917526,2013,10,3,11
31.484012431364,2013,10,3,12
37.525827017336,2013,10,3,13
23.257422580372,2013,10,3,14
31.206743584708,2013,10,3,15
43.170826833076,2013,10,3,16
42.146034739031,2013,10,3,17
27.092989546352,2013,10,3,18
20.981689228199,2013,10,3,19
0.01822324861494,2013,10,3,20
0.001695185917676,2013,10,3,21
0.0002472146129941,2013,10,3,22
0.01631616445757,2013,10,3,23
0.468783397005,2013,10,4,8
1.243639981816,2013,10,4,9
14.799098971833,2013,10,4,10
30.056191420885,2013,10,4,11
24.268011350372,2013,10,4,12
39.306189885393,2013,10,4,13
18.061124964686,2013,10,4,14
24.014852838204,2013,10,4,15
47.982059282373,2013,10,4,16
26.959423022586,2013,10,4,17
25.910990455371,2013,10,4,18
9.896324947486,2013,10,4,19
0.01663861830062,2013,10,4,20
0.001547778446573,2013,10,4,21
0.0002257176901246,2013,10,4,22
0.01489736754824,2013,10,4,23
18,2013,10,5,10
35,2013,10,5,11
38,2013,10,5,12
20,2013,10,5,13
22,2013,10,5,14
35,2013,10,5,15
15,2013,10,5,16
12,2013,10,5,17
0.468783397005,2013,10,7,8
1.24363998182,2013,10,7,9
27.799098971832,2013,10,7,10
9.05619142089,2013,10,7,11
31.268011350378,2013,10,7,12
31.306189885392,2013,10,7,13
53.061124964684,2013,10,7,14
43.014852838206,2013,10,7,15
47.982059282372,2013,10,7,16
33.959423022587,2013,10,7,17
41.910990455367,2013,10,7,18
16.896324947486,2013,10,7,19
0.01663861830065,2013,10,7,20
0.001547778446572,2013,10,7,21
0.000225717690125,2013,10,7,22
0.01489736754826,2013,10,7,23
0.17858415124,2013,10,8,8
0.473767612122,2013,10,8,9
40.685371036888,2013,10,8,10
54.78331101748,2013,10,8,11
47.864004323952,2013,10,8,12
42.878548527768,2013,10,8,13
36.785190462736,2013,10,8,14
28.767562985984,2013,10,8,15
23.755070202808,2013,10,8,16
37.746446865749,2013,10,8,17
46.727996363949,2013,10,8,18
12.341457122851,2013,10,8,19
0.00633852125739,2013,10,8,20
0.000589629884408,2013,10,8,21
8.59876914762e-05,2013,10,8,22
0.00567518763743,2013,10,8,23
27,2013,10,9,10
45,2013,10,9,11
30,2013,10,9,12
42,2013,10,9,13
32,2013,10,9,14
50,2013,10,9,15
37,2013,10,9,16
21,2013,10,9,17
21,2013,10,9,18
17,2013,10,9,19
0.156261132335,2013,10,10,8
0.414546660607,2013,10,10,9
17.599699657278,2013,10,10,10
17.685397140295,2013,10,10,11
32.756003783458,2013,10,10,12
27.768729961797,2013,10,10,13
27.687041654895,2013,10,10,14
24.671617612736,2013,10,10,15
27.660686427457,2013,10,10,16
21.65314100753,2013,10,10,17
21.636996818455,2013,10,10,18
10.298774982495,2013,10,10,19
0.00554620610021,2013,10,10,20
0.000515926148857,2013,10,10,21
7.52392300416e-05,2013,10,10,22
0.00496578918275,2013,10,10,23
0.558075472625,2013,10,11,8
1.48052378788,2013,10,11,9
17.141784490281,2013,10,11,10
26.44784692963,2013,10,11,11
20.70001351235,2013,10,11,12
39.74546414927,2013,10,11,13
23.453720196051,2013,10,11,14
30.3986343312,2013,10,11,15
34.35959438378,2013,10,11,16
21.332646455466,2013,10,11,17
18.274988637336,2013,10,11,18
21.067053508912,2013,10,11,19
0.01980787892933,2013,10,11,20
0.00184259338877,2013,10,11,21
0.000268711535863,2013,10,11,22
0.01773496136698,2013,10,11,23
12,2013,10,12,10
27,2013,10,12,11
28,2013,10,12,12
34,2013,10,12,13
28,2013,10,12,14
15,2013,10,12,15
40,2013,10,12,16
17,2013,10,12,17
0.602721510435,2013,10,14,8
1.598965690911,2013,10,14,9
25.313127249497,2013,10,14,10
47.643674684,2013,10,14,11
42.916014593344,2013,10,14,12
28.965101281216,2013,10,14,13
32.650017811732,2013,10,14,14
23.590525077698,2013,10,14,15
36.548361934476,2013,10,14,16
39.519258171901,2013,10,14,17
41.456987728332,2013,10,14,18
12.152417789625,2013,10,14,19
0.02139250924364,2013,10,14,20
0.001990000859876,2013,10,14,21
0.0002902084587321,2013,10,14,22
0.01915375827627,2013,10,14,23
0.692013586055,2013,10,15,8
1.835849496971,2013,10,15,9
41.655812767944,2013,10,15,10
44.03533019274,2013,10,15,11
30.348016755316,2013,10,15,12
43.404375545104,2013,10,15,13
37.042613043108,2013,10,15,14
17.974306570692,2013,10,15,15
36.925897035884,2013,10,15,16
